"animal","Sire","Dam","Pop","Generation","Sex","Stage","Date","Time","Temp","Mass","Injured","Observer","Camera","Emerged","Latency.S","Latency.Cens","OF.Dist","UZ","OF.Var.Velo","AP.Dist","AP.Lat.Mov","AP.Var.Velo","Understimate.AP","Latency.unt.cen","Latency.unt.up","Latency.cen","Latency.up","JDate_dev","OF.Dist.sqrt","UZ.sqrt","OF.Var.Velo.log","AP.Dist.sqrt","AP.Lat.Mov.sqrt","AP.Var.Velo.log","UZ.log","AP.Lat.Mov.log"
20577,10106,"10519","AG","F1","UNK","SA",2018-05-21,14.6133333333333,26.1,497,"N","IDJ","New",0,NA,395,381.091,20,11.5484,653.555,108.966,9.31828,"N",395,Inf,19.8746069143518,Inf,29,19.5215521923847,4.47213595499958,2.52959316741041,25.5647217860864,10.438678077228,2.33391707949632,2.99573227355399,4.70017122710488
20578,10106,"10519","AG","F1","M","A",2018-05-21,10.2466666666667,25.4,577,"N","BK","New",1,133,133,626.942,23,19.307,360.99,64.5994,5.82218,"N",133,133,11.5325625946708,11.5325625946708,29,25.0388098758707,4.79583152331272,3.01096565419458,18.9997368402828,8.03737519343224,1.92017906887264,3.13549421592915,4.18356654956675
20579,10164,"10521","AG","F1","M","A",2018-05-21,11.9133333333333,25.9,483,"N","IDJ","New",0,NA,395,1015.66,22,29.5849,1711.77,160.398,44.757,"N",395,Inf,19.8746069143518,Inf,29,31.8694210804025,4.69041575982343,3.42050642311259,41.373542270393,12.6648332006387,3.82334478548187,3.09104245335832,5.08387336418534
20580,10170,"10526","AG","F1","F","A",2018-05-31,15.2466666666667,26.7,613,"N","IDJ","New",0,NA,395,52.9578,1,0.126618,807.257,102.499,19.0726,"N",395,Inf,19.8746069143518,Inf,39,7.27721100422408,1,0.119220224627603,28.4122684768394,10.124178979058,2.99935570100476,0,4.639561950823
20581,10170,"10526","AG","F1","F","A",2018-05-21,11.0633333333333,25.7,595,"N","BK","New",0,NA,395,1118.67,22,60.5597,1021.13,143.665,16.7364,"N",395,Inf,19.8746069143518,Inf,29,33.4465244831208,4.69041575982343,4.12000743566446,31.9551247846101,11.9860335390821,2.87561902505924,3.09104245335832,4.9744207246286
20582,10572,"10498","LC","F1","M","A",2018-05-14,12.38,26.1,619,"N","BK","New",0,NA,395,32.8256,1,0.0387571,8.80768,NA,0.000972542,"N",395,Inf,19.8746069143518,Inf,22,5.72936296633404,1,0.0380249023025489,2.96777357626892,NA,0.000972069387427979,0,NA
20583,10468,"10561","LC","F1","F","A",2018-05-15,12.03,25.9,503,"N","JD","New",0,NA,395,642.822,20,21.6039,742.553,12.4332,8.435,"N",395,Inf,19.8746069143518,Inf,23,25.353934605895,4.47213595499958,3.11812245776206,27.2498256875159,3.52607430437874,2.24442617882051,2.99573227355399,2.59772925467696
20584,10468,"10561","LC","F1","UNK","SA",2018-05-16,12.68,26.6,496,"N","BK","New",1,375,375,64.2132,1,0.200242,412.774,61.666,6.31078,"N",375,375,19.3649167310371,19.3649167310371,24,8.01331392121886,1,0.182523203128633,20.3168403055199,7.85277021184244,1.98934997121569,0,4.13781903580738
20585,10468,"10561","LC","F1","F","A",2018-05-17,14.43,26,657,"N","IDJ","New",0,NA,395,391.611,26,11.0034,511.496,12.2665,7.41693,"N",395,Inf,19.8746069143518,Inf,25,19.7891637013796,5.09901951359278,2.48518994299002,22.6162773240867,3.50235634965947,2.13024515369254,3.25809653802148,2.5852420607293
20586,10468,"10561","LC","F1","F","A",2018-06-01,13.4466666666667,26.8,608,"N","IDJ","New",1,304,304,41.6055,1,0.10709,180.566,56.7661,1.30987,"N",304,304,17.4355957741627,17.4355957741627,40,6.45023255394718,1,0.101734951234776,13.4374848837124,7.53432810541192,0.837191245893812,0,4.05640209842657
20588,10414,"10528","AG","F1","M","A",2018-05-23,15.7466666666667,26.3,517.778474399164,"N","JL","New",1,372,372,85.026,2,0.561795,525.716,90.8658,8.54271,"N",372,372,19.2873015219859,19.2873015219859,31,9.220954397458,1.4142135623731,0.445835800807071,22.9284975521729,9.53235542769991,2.25577751220673,0.693147180559945,4.52032881646463
20589,10414,"10528","AG","F1","F","A",2018-05-31,14.33,26.2,696,"N","IDJ","New",1,0,0,6.4658,2,0.0191652,397.101,91.2658,3.60097,"N",0,0,0,0,39,2.54279373917744,1.4142135623731,0.0189838608258261,19.9273932063379,9.55331356127286,1.52626715083041,0.693147180559945,4.52467354196771
30001,20167,"20173","Dunn","F2","M","A",2018-08-31,13.7633333333333,26.1,557,"N","HL","New",1,333,333,190.372,20,6.36816,859.809,36.333,23.6117,"N",333,333,18.2482875908947,18.2482875908947,131,13.7975360119117,4.47213595499958,1.99716801424383,29.3224998934265,6.02768612321511,3.20322193962794,2.99573227355399,3.6198776540157
